Time(s),Torque,signal_0,signal_1,signal_2
2.89,0.07570208,-1.0,-0.1,21.6
2.89,0.08547009,-1.0,-0.1,21.6
2.89,0.08058608,-1.0,-0.1,21.6
2.89,0.09035409,-1.0,-0.1,21.6
2.89,0.09035409,-1.0,-0.1,21.6
2.89,0.09035409,-1.0,-0.1,21.6
2.89,0.09035409,-1.0,-0.1,21.700000000000003
2.89,0.09035409,-1.0,-0.1,21.700000000000003
2.9,0.1001221,-1.0,-0.1,21.700000000000003
2.9,0.0952381,-1.0,-0.1,21.700000000000003
2.9,0.1001221,-1.0,-0.1,21.700000000000003
2.9,0.1001221,-1.0,-0.1,21.700000000000003
2.9,0.1001221,-1.0,-0.1,21.700000000000003
2.9,0.1001221,-1.0,-0.1,21.700000000000003
2.9,0.105006106,-1.0,-0.1,21.700000000000003
2.9,0.10989011,-1.0,-0.1,21.700000000000003
2.9,0.114774115,-1.0,-0.1,21.700000000000003
2.9,0.10989011,-1.0,-0.1,21.700000000000003
2.9,0.105006106,-1.0,-0.1,21.700000000000003
2.91,0.10989011,-1.0,-0.1,21.700000000000003
2.91,0.10989011,-1.0,-0.1,21.700000000000003
2.91,0.114774115,-1.0,-0.1,21.700000000000003
2.91,0.10989011,-1.0,-0.1,21.700000000000003
2.91,0.114774115,-1.0,-0.1,21.700000000000003
2.91,0.11965812,-1.0,-0.1,21.700000000000003
2.91,0.10989011,-1.0,-0.1,21.700000000000003
2.91,0.114774115,-1.0,-0.1,21.700000000000003
2.91,0.10989011,-1.0,-0.1,21.700000000000003
2.92,0.114774115,-1.0,-0.1,21.700000000000003
2.92,0.114774115,-1.0,-0.1,21.700000000000003
2.92,0.11965812,-1.0,-0.1,21.700000000000003
2.92,0.11965812,-1.0,-0.1,21.700000000000003
2.92,0.124542125,-1.0,-0.1,21.700000000000003
2.92,0.11965812,-1.0,-0.1,21.700000000000003
2.92,0.11965812,-1.0,-0.1,21.700000000000003
2.92,0.11965812,-1.0,-0.1,21.700000000000003
2.92,0.12942614,-1.0,-0.1,21.700000000000003
2.92,0.124542125,-1.0,-0.1,21.700000000000003
2.93,0.12942614,-1.0,-0.1,21.700000000000003
2.93,0.12942614,-1.0,-0.1,21.700000000000003
2.93,0.11965812,-1.0,-0.1,21.700000000000003
2.93,0.124542125,-1.0,-0.1,21.700000000000003
2.93,0.13431014,-1.0,-0.1,21.700000000000003
2.93,0.11965812,-1.0,-0.1,21.700000000000003
2.93,0.11965812,-1.0,-0.1,21.700000000000003
2.93,0.10989011,-1.0,-0.1,21.700000000000003
2.93,0.10989011,-1.0,-0.1,21.700000000000003
2.94,0.1001221,-1.0,-0.1,21.700000000000003
2.94,0.0952381,-1.0,-0.1,21.700000000000003
2.94,0.09035409,-1.0,-0.1,21.700000000000003
2.94,0.08547009,-1.0,-0.1,21.700000000000003
2.94,0.07570208,-1.0,-0.1,21.700000000000003
2.94,0.06593407,-1.0,-0.1,21.700000000000003
2.94,0.06105006,-1.0,-0.1,21.700000000000003
2.94,0.046398047,-1.0,-0.1,21.700000000000003
2.95,0.03663004,-1.0,-0.1,21.8
2.95,0.031746034,-1.0,-0.1,21.8
2.95,0.026862027,-1.0,-0.1,21.8
